full_text,sentiment
"maaf nestle produk boikot. So mau boikot dlu 🙏🏻",positif
"aku menolak boikot. Krn nyatanya produk McD dan KFC EMG enak pol",negatif
"masalah boikot di negara ini msih kurang bngt, Buktinya sekelas mekdi, KFC, sama starbak di sini msih aja rame. jd ga usahlah sok Sokan boikot",negatif
"Apasih gunanya boikot produk? Menyusahkan! Nyatanya produk aqua kan produk lokal",negatif
"KFC tuh masuk produk boikot ga sih?",netral
"kfc ga masuk daftar produk boikot lagi?",netral
"Gue gak ikutan boikot, tapi emang gak konsumsi barang2 yg diboikot.",netral
"Boikot ini tuh menambah motivasi untuk mensukseskan kampanye pemerintah untuk beralih ke produk dalam negeri",positif
"Apa sih gunanya pada boikot produk israel?? menurut gw sih ga ada malah makin rame tuh sekarang kfc,mcd,sbuck",negatif
"Dalam keadaan darurat kayak gini tuh, mendukung atau menolak boikot gak jadi masalah. Allah juga tau niat kita makan produk boikot itu apa.",netral
"Plis butuh list produk boikot deh soalnya gw mo dukung boikot, yg gue tau cuman mcd, bk, kfc, produk unilever, sama coca cola",positif
"boikot tuh memperlemah perekonomian dampaknya ke karyawan yg bekerja di produk yg diboikot",negatif
"kfc tuh masuk produk boikot ga si?",netral
"Gada gunanya tuh boikot. Bener produk nya nggak laku perusahaan nya terus tutup tp karyawannya banyak yg di PHK haha miris",negatif
"Masih dukung boikot selama ada produk pengganti. Kaya KFC, McD udah bener2 stop. Padahal dulu tiap hari beli ice creamnya McD.",positif
"Perkara masyarakat boikot atau tidak, itu mindset & kebutuhan. Saya pribadi sudah pakai produk lokal, walaupun tidak 100% lepas dari produk terafiliasi",netral
"banyak netizen mengolok2 orang yg ga ikutan ngeboikot. giliran disuguhin fakta kalo netizen juga masih pake produk amerika lgsg jawabnya 'ya kita kan gabisa 100% menghindari semua blablabla' hilih! suarakan boikot, tapi jgn jd pembully.",netral
"Ayo gais tetep dukung boikot, kita baik2 aja tanpa kfc, mcd dan produk lainnyaa",positif
"milo tuh produk boikot nder. ngasih tau aja sih 😔🙏🏻",netral
"Gausah sok Sokan mau ngelakuin boikot produk Israel. Malahan dengan adanya gerakan ini berpotensi meruntuhkan ekonomi Indonesia. Sakit bgt gw liatnya",negatif
"Semenjak dukung boikot mcd dan kfc. Aku sadar kalo produk umkm nggak kalah enak dan lezat",positif
"Kenapa orang makan atau beli mcd sama sbux langsung koar koar boikot tapi kalo orang beli produk kaya nestle dll pada diem aja. emang bedanya apa?",netral
