"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1810268844369539120","Mon Jul 08 12:40:57 +0000 2024","0","@tanyarlfes Some by mi dan garnier sakura juga tapi garnier harusnya boikot cuma belom nemu gantinya apaan mungkin ada yg punya saran ganti garnier ke produk apaan? https://t.co/igRBh3AnuW","1810292991854362870","https://pbs.twimg.com/media/GR9z4cAasAAkZcF.jpg","tanyarlfes","in","","0","0","0","https://x.com/owwajayakan/status/1810292991854362870","1564611195138875411","owwajayakan"
"1810353424896241665","Mon Jul 08 16:41:07 +0000 2024","0","Di sisi yang lain aku sungguh ga tahu harus melakukan apa yang lebih bisa menghentikan genosida ini Sejauh ini aku hanya bisa konsisten boikot sebagian produk konsisten bersuara konsisten menepis kebohongan2 lewat komen insya Allah Adakah suatu hal lain yang bisa kulakukan?","1810353429677748289","","arsatita8","in","","0","0","0","https://x.com/arsatita8/status/1810353429677748289","2335971830","arsatita8"
"1810135999017812345","Mon Jul 08 02:17:07 +0000 2024","0","koar koar boikot produk karena alasan kemanusiaan tapi pesen makan gadihabisin padahal disana orang makan aja susah. mana kemanusiaan kamu?","1810135999017812345","","","in","","0","0","0","https://x.com/mangsomayyy/status/1810135999017812345","1247334321263742976","mangsomayyy"
"1810374448039735467","Mon Jul 08 18:04:38 +0000 2024","0","KONTRADIKSI: binik teriak free Palestine share produk boikot mo nyapu bocil yg becandaan pro.. lakik nya dg pura cool style ngokop brand yg paling di target Aku julid? YA semua org boleh salah kecuali mereka.","1810374448039735467","","","in","Surabaya - Indonesia","0","0","0","https://x.com/svnwlf/status/1810374448039735467","91741172","svnwlf"
"1810268750861701318","Mon Jul 08 11:04:38 +0000 2024","0","Guys saran body lotion yang bagus untuk mencerahkan dong jangan produk boikot yak ‍️","1810268750861701318","","","in","","0","1","0","https://x.com/bonjavenuev/status/1810268750861701318","1107244334347223042","bonjavenuev"
"1810212918270787623","Mon Jul 08 07:22:46 +0000 2024","6","Perbandingan manusia yang benar-benar manusia dengan manusia pohon pisang yang hanya punya jantung tidak punya hati seperti munafikun Permadi ini Anak kecil saja tahu mengapa mereka harus boikot produk terafiliasi Israel &amp; Amerika. #BoikotprodukterafiliasiIsraelSelamanya https://t.co/aRGrasUWwZ","1810212918270787623","https://pbs.twimg.com/ext_tw_video_thumb/1810212523662290944/pu/img/UY5vX_O0XvMndbPH.jpg","","in","","0","1","1","https://x.com/Laela150309/status/1810212918270787623","1789903701861429248","Laela150309"
"1810295371845009447","Mon Jul 08 12:50:24 +0000 2024","0","baru bgt liat orang reply rekomendasiin produk by saying kalo kamu ga masalah sama yang boikot bisa cobain produk a b c .. i mean.. sedih aja just don't mention it?","1810295371845009447","","","in","personal acc, free to bub","0","0","0","https://x.com/haevermout/status/1810295371845009447","1551902361559322624","haevermout"
"1810302550627012856","Mon Jul 08 13:18:56 +0000 2024","0","Esq*a tuh produk boikot bukan sih?","1810302550627012856","","","in","10L ","0","3","0","https://x.com/QueenMbie_/status/1810302550627012856","1291593581128347651","QueenMbie_"
"1810342951249408430","Mon Jul 08 15:59:29 +0000 2024","0","oiya aku tau pantene biotin produk boikot kalo ada yg tau conditioner biotin merk lain yg non boikot boleh diinfo ya i m highly appreciate. maaci","1810342954416185767","","litxless","in","room 19","0","0","0","https://x.com/litxless/status/1810342954416185767","1199859254909210626","litxless"
"1809359428539633928","Mon Jul 08 04:45:48 +0000 2024","0","@Siswotomo187571 Pasti ada aqidah diganti dengan ekonomi boikot produk yahudi","1810173418161238517","","Siswotomo187571","in","","0","0","0","https://x.com/SmartInfin4915/status/1810173418161238517","1789379204959838208","SmartInfin4915"
"1810253242422681993","Mon Jul 08 10:26:29 +0000 2024","0","@satwaliar75 rawan bgt emng klo pk printilan produk boikot","1810259151970570587","","satwaliar75","in","heaven","0","1","0","https://x.com/twentynarcissus/status/1810259151970570587","1318412229360848898","twentynarcissus"
"1810245716448882931","Mon Jul 08 13:07:40 +0000 2024","0","@Jerseyforum @addogerardo masih banyak kah yang mau beli produk erspo ini apa kurang kenceng boikot yang kemarin itu?","1810299715495637283","","Jerseyforum","in","Cirebon, Jawa Barat","0","1","0","https://x.com/rizkyjoeabdilah/status/1810299715495637283","1248814021442076672","rizkyjoeabdilah"
"1810223352738619395","Mon Jul 08 08:04:14 +0000 2024","0","Fred juga produk boikot ","1810223352738619395","","","in","","0","0","0","https://x.com/Luaily_/status/1810223352738619395","1369105081342160897","Luaily_"
"1810192134546546713","Mon Jul 08 11:35:50 +0000 2024","0","@erlanishere Setarbucek tiap hari? Mau tukak lambung kali ni orang Yok normalisasikan yang sesuai lokal dan ga mubazir duit sekaligus boikot produk dan yang terafiliasi membantuk isriwil pesek","1810276603160838275","","erlanishere","in","","0","0","0","https://x.com/VKunyuk/status/1810276603160838275","1503426118606811136","VKunyuk"
"1810185618296910334","Mon Jul 08 05:34:17 +0000 2024","0","Jangan Berbicara Kecam yang Tak ada Efeknya TAPI Lakukan Langkah BOIKOT IMPORT Produk-produk Israel. @myputun https://t.co/PIm42dfOMO","1810185618296910334","","","in","Al Mulku, Moloku Kie Raha","0","0","0","https://x.com/PutunMy/status/1810185618296910334","1567483663545438209","PutunMy"
"1810296351399571660","Mon Jul 08 13:40:12 +0000 2024","0","@Nur__Ahmad Lemah kan Israel dengan cara boikot produk nya termasuk Danone","1810307900969189722","","Nur__Ahmad","in","","0","0","0","https://x.com/yoni_karti91597/status/1810307900969189722","1790713171222888448","yoni_karti91597"
