created_at,full_text,sentiment
Tue Dec 26 05:04:15 +0000 2023,"maaf nestle produk boikot. So mau boikot dlu 🙏🏻",positif
Tue Dec 26 09:05:00 +0000 2023,"aku menolak boikot. Krn nyatanya produk McD dan KFC EMG enak pol",negatif
Tue Dec 26 12:09:10 +0000 2023,"masalah boikot di negara ini msih kurang bngt, Buktinya sekelas mekdi, KFC, sama starbak di sini msih aja rame. jd ga usahlah sok Sokan boikot",negatif
Tue Dec 26 15:09:53 +0000 2023,"Apasih gunanya boikot produk? Menyusahkan! Nyatanya produk aqua kan produk lokal",negatif
Tue Dec 26 18:13:02 +0000 2023,"KFC tuh masuk produk boikot ga sih?",netral
Tue Dec 26 20:13:11 +0000 2023,"kfc ga masuk daftar produk boikot lagi?",netral
Tue Dec 26 21:13:50 +0000 2023,"Gue gak ikutan boikot, tapi emang gak konsumsi barang2 yg diboikot.",netral
Tue Dec 26 21:14:45 +0000 2023,"Boikot ini tuh menambah motivasi untuk mensukseskan kampanye pemerintah untuk beralih ke produk dalam negeri",positif
Tue Dec 26 23:15:08 +0000 2023,"Apa sih gunanya pada boikot produk israel?? menurut gw sih ga ada malah makin rame tuh sekarang kfc,mcd,sbuck",negatif
Wed Dec 27 00:04:13 +0000 2023,"Dalam keadaan darurat kayak gini tuh, mendukung atau menolak boikot gak jadi masalah. Allah juga tau niat kita makan produk boikot itu apa.",netral
Tue Dec 26 08:56:10 +0000 2023,"Plis butuh list produk boikot deh soalnya gw mo dukung boikot, yg gue tau cuman mcd, bk, kfc, produk unilever, sama coca cola",positif
Tue Dec 26 08:04:13 +0000 2023,"boikot tuh memperlemah perekonomian dampaknya ke karyawan yg bekerja di produk yg diboikot",negatif
Tue Dec 26 08:04:13 +0000 2023,"kfc tuh masuk produk boikot ga si?",netral
Tue Dec 26 08:04:13 +0000 2023,"Gada gunanya tuh boikot. Bener produk nya nggak laku perusahaan nya terus tutup tp karyawannya banyak yg di PHK haha miris",negatif
Tue Dec 26 08:04:13 +0000 2023,"Masih dukung boikot selama ada produk pengganti. Kaya KFC, McD udah bener2 stop. Padahal dulu tiap hari beli ice creamnya McD.",positif
Tue Dec 26 08:04:13 +0000 2023,"Perkara masyarakat boikot atau tidak, itu mindset & kebutuhan. Saya pribadi sudah pakai produk lokal, walaupun tidak 100% lepas dari produk terafiliasi",netral
Tue Dec 26 08:04:13 +0000 2023,"banyak netizen mengolok2 orang yg ga ikutan ngeboikot. giliran disuguhin fakta kalo netizen juga masih pake produk amerika lgsg jawabnya 'ya kita kan gabisa 100% menghindari semua blablabla' hilih! suarakan boikot, tapi jgn jd pembully.",netral
Tue Dec 26 08:04:13 +0000 2023,"Ayo gais tetep dukung boikot, kita baik2 aja tanpa kfc, mcd dan produk lainnyaa",positif
Tue Dec 26 08:04:13 +0000 2023,"milo tuh produk boikot nder. ngasih tau aja sih 😔🙏🏻",netral
Tue Dec 26 08:04:13 +0000 2023,"Gausah sok Sokan mau ngelakuin boikot produk Israel. Malahan dengan adanya gerakan ini berpotensi meruntuhkan ekonomi Indonesia. Sakit bgt gw liatnya",negatif
Tue Dec 26 08:04:13 +0000 2023,"Semenjak dukung boikot mcd dan kfc. Aku sadar kalo produk umkm nggak kalah enak dan lezat",positif
Tue Dec 26 08:04:13 +0000 2023,"Kenapa orang makan atau beli mcd sama sbux langsung koar koar boikot tapi kalo orang beli produk kaya nestle dll pada diem aja. emang bedanya apa?",netral
Tue Dec 26 08:04:13 +0000 2023,"Lebih baik donasi dan doa lebih konstruktif daripada boikot produk dalam yang hanya merugikan kita sendiri. #BoikotNgerugiinKita",netral
Tue Dec 26 08:04:13 +0000 2023,"Jangan hentikan aksi boikot dan tetap konsisten dalam mendukung boikot produk zionis kaya produk Danone Aqua",positif
Tue Dec 26 08:04:13 +0000 2023,"Drpd boikot2 yg merugikan bangsa sendiri jg, mendingan perbanyak sumbangan",negatif
Tue Dec 26 08:04:13 +0000 2023,"Boikot tuh aksi cerdas, krn boikot UMKM dan produk lokal yg selama ini gak dilirik justru sekarang makin disadari keberadaannya",positif
Tue Dec 26 08:04:13 +0000 2023,"Dengan adanya boikot justru merugikan negara. Akibat penjualan menurun, Unilever Indonesia melakukan pengurangan tenaga kerja",negatif
Tue Dec 26 08:04:13 +0000 2023,"Ga pernah beli starbucks. Soalnya gw dukung banget aksi boikot ini",positif
Tue Dec 26 08:04:13 +0000 2023,"Boikot produk tuh bukan solusi bela palestina karena merugikan negara kita juga karena produk yang di boikot malah ga ada fakta bela Israel #boikotngerugiinkita”,negatif 
Tue Dec 26 08:04:13 +0000 2023,"Boikot produk dapat merugikan banyak pihak di dalam negeri. #BoikotNgerugiinKita",negatif
Tue Dec 26 08:04:13 +0000 2023,"efek adanya boikot produk sebenernya bukan cuma merugikan perusahaan. tapi merugikan pedagang juga, karena beberapa produk minuman di boikot. ngaruh bgt ke penjualan.",negatif
Tue Dec 26 08:04:13 +0000 2023,"Paling bener boikot tuh produk danone aqua, aqua juga kan gak bisa nyangkal terkait pro israel",positif
Tue Dec 26 08:04:13 +0000 2023,"gini loh, mau dukung boikot apa enggak itu hak personal, kamu boikot silahkan, ngurangi produk silahkan, mau beli silahkan. aku g belain siapa siapa. . .",netral
Tue Dec 26 08:04:13 +0000 2023,"Yuk gaes dukung boikot produk Danone Aqua !!!",positif
Tue Dec 26 08:04:13 +0000 2023,"menolak tentang boikot produk-produk yang katanya dukung Israel, kalian ga mikirin nasib pegawainya? mereka tidak tahu apa-apa selain itu ada keluarga yang harus di nafkahi juga,.",negatif
Tue Dec 26 08:04:13 +0000 2023,"Nyusahin karyawannya bgt deh. udah paling bener tolak boikot aja anti ribet",negatif
Tue Dec 26 08:04:13 +0000 2023,"Oreo dan Biskuat tuh dari Israel? Kalo mau dukung atau tolak boikot harus selektif ya man teman",netral
Tue Dec 26 08:04:13 +0000 2023,"Gw baru tau kalau oreo produk di boikot",netral
Tue Dec 26 08:04:13 +0000 2023,"Tau ga sih apa aja list produk boikot tuh??????",netral
Tue Dec 26 08:04:13 +0000 2023,"Biasanya sahur di mcd tp kali ini lg dukung boikot tuh produk",positif
Tue Dec 26 08:04:13 +0000 2023,"Unilever Akan PHK 7.500 Karyawan. Hebat kan aksi boikot ini malah ngerugiin masyarakat hadeh",negatif
Tue Dec 26 08:04:13 +0000 2023,"Makan aja itu rejeki kamu. Kalo dibuang juga dosa. Tapi mungkin next time bilang aja ke org yg kasih klo kmu boikot mcd",netral
Tue Dec 26 08:04:13 +0000 2023,"yuk dukung boikot mcd & sbuck karna produk/brand lokal banyak yg lebih enak dan yg terpenting LEBIH MURAH hehehhee",positif
Tue Dec 26 08:04:13 +0000 2023,"Kalau mau membantu saudara kita di Palestina, yang pertama kali bisa kita lakukan adalah donasi, kan banyak cara untuk membantu bukannya hanya boikot saja",netral
Tue Dec 26 08:04:13 +0000 2023,"Btw efek boikot bikin harga sembako pangan gak stabil. Dan banyak petani, nelayan jadi rugi. Yang rugi negara lu sendiri bukan isriwil.",negatif
Tue Dec 26 08:04:13 +0000 2023,"Adanya boikot ini malah masyarakat sendiri yang dirugikan, dan ini dapat menyebabkan banyak PHK serta pengangguran.",negatif
Tue Dec 26 08:04:13 +0000 2023,"Harus bijak dalam mengambil langkah terutama dalam hal boikot produk, dan faktanya Aqua tidak termasuk dalam produk yg diboikot dan Aqua dukung terus Palestina.",netral
Tue Dec 26 08:04:13 +0000 2023,"Buat aku ini hal yang menggembirakan karena tidak salah yang aku lakukan selama ini dengan tidak ikut-ikutan boikot produk Aqua, sebaliknya makin menguatkan bahwa ternyata Aqua itu Pro Palestina 🙂👌🙏 so, tolak boikot aqua",negatif
Tue Dec 26 08:04:13 +0000 2023,"Aksi Boikot Produk Pro Israel Menjadikan Industri Lokal Buka Lapangan Kerja Barul",positif
Tue Dec 26 08:04:13 +0000 2023,"sebenernya gapapa banget buat ngurangin produk luar. aku, sendiri juga boikot produk2 dari perusahaan multinational macem nestle, coca cola karna banyak alasan lainnya",netral
Tue Dec 26 08:04:13 +0000 2023,"Yuk jgn termakan hoax. Gerakan boikot ini sangat  berdampak kepada beberapa merek, seperti perusahaan air minum AQUA yang diisukan sebagai produk Israel. Padahal, AQUA adalah produk asli Indonesia yang secara terang-terangan mendukung Palestina.",netral
Tue Dec 26 08:04:13 +0000 2023,"btw es krim oreo salah satu produk dari walls yg dimana mereka pro israel, so yg hrs kita lakuin itu adalah dukung boikot. better beli eskrim buatan indonesia",positif
Tue Dec 26 08:04:13 +0000 2023,"Baru tau burger king itu produk boikot😭",netral
Tue Dec 26 08:04:13 +0000 2023,"Benar juga akhirnya bahwa Aqua itu Pro Palestina jadi sudah waktunya kita kembali mengkonsumsi sehari-hari produk Danone dan tidak ikutan untuk boikot ataupun nyebarin fitnah di medsos🙂🙏👌 yuk jangan boikot aqua gaes",negatif
Tue Dec 26 08:04:13 +0000 2023,"Burger king tuh produk boikot kan???",netral
Tue Dec 26 08:04:13 +0000 2023,"Udh jelas burger king, mcd, subway, domino adalah produk boikot. semoga ttp konsisten dukung boikot produk isriwil👊🏻👊🏻",positif
Tue Dec 26 08:04:13 +0000 2023,"Akhirnya dapat berita terbaru yang menggembirakan dan tidak ikutan untuk memperluas berita hoax, Aqua Pro Palestina jadi dah waktunya kita konsumsi kembali produk Aqua dan tidak ikutan tuk boikot ya gaes👌🙏",negatif
Tue Dec 26 08:04:13 +0000 2023,"yuk boikot royco krn produk boikot",positif
Tue Dec 26 08:04:13 +0000 2023,"lebih bijak dalam boikot produk guys, kasian karyawan aqua ikut kena imbas",netral
