full_text,sentiment
@woyyystopjelek @starfess Beliau ini ex kpop dia juga ikutan boikot produk pro isriwil https://t.co/rNMaDBpepn,negative
Buat kalian yg mau boikot tapi bingung produk apa aja yg masuk list boikot ini aku nemu aplikasi yg sangat bermanfaat untuk bedain produk boikot atau bukan. nama aplikasinya No Thanks . Untuk caranya aku sertakan di video di bawah. https://t.co/X0xNx9BFoA,negative
guys aku tau kalian merasakan keresahan ini. bingung kan produk mana aja yang lagi diboikot atau ngga. ayo pake apps ini. caranya gampang bgt tinggal scan terus kode batang/barcode yang ada pada produk. yuk guys ini bermanfaat bgt buat bantu boikot https://t.co/bFesoPJhIg,negative
1. Boikot berarti BERHENTI MEMBELI bukan MEMBUANG PRODUK YANG SUDAH DIMILIKI 2. Bedakan barang PRIMER yang esensial dan barang TERSIER yang kita ga perlu Kalau kamu menggunakan narasi anti boikot untuk melanggengkan tingkahmu yang mengonsumsi hal tersier ofc I would judge you.,negative
Calon wapres pemilu kita yg 8 bulan lagi kemungkinan besar dilantik. Beliau Makai botol plastik dan produk boikot https://t.co/OpXKChOJgk,negative
tanyarl ternyata dunkin sampe buat donat israHELL tetap semangat boikot produk yang mendukung israHELL! https://t.co/FH68VSdAYN,negative
tanyarl astaghfirullah israHELL buat mainan bayi kaya gini israHELL BIADAB tetap semangat boikot produk israHELL!!!!! https://t.co/tXLKIUGrqo,negative
Boikot [bb] Guys rekomend aku produk pengganti skincare aku yg brandnya ini dong Btw aku type skin kombinasi to oily di bagian T zone Aku pake face wash hadalabo biru tua micelar water garnier dan ss skinaqua. Bantu rekomend aku skincare brand lain yg mirip (cont..) https://t.co/TbF15O8lCC,negative
OH NOOO Padahal burger Carls Jr nih enak loh patty nya juga juicy gendut-gendut Mereka juga bukan produk yg masuk boikot kan yah? https://t.co/CWcMttL1z6,negative
Spotify ga ada di BDS. Tolong fokus di BDS dulu krn mereka ini yg bener² support genosida. Kalo mau boikot semuanya hampir ga mungkin karena produk yg terafiliasi dgn israel itu BANYAK BANGET dan kalo mau boikot semua jadi ga terarah dan ga efektif ujungnya percuma. https://t.co/lu6tREXFo8,negative
Rahajeng semeng para kafir sekalian. Mari kita boikot produk luar negeri dengan meminum kopi bubuk Cap Banyuatis. Cheers mate! https://t.co/OzbtEVF7q3,negative
video dua ini bagus banget ditonton karena menjelaskan secara singkat kenapa kita boikot produk amerika dan kenapa kita harus selalu UPDATE dan ngomongin palestina https://t.co/hIYfHkUzQt,negative
Gini lhooo pola pikirnya Boikot itu stop beli produk dan edukasi atau ajak orang² buat boikot tanpa adanya paksaan seolah itu sebuah kewajiban. Kalaupun ada yang belum atau gamau ikutan yaudah... Hargai saja hak dia. https://t.co/UVs2rkqT54,negative
NAME APP: NO THANKS guys ini aplikasi berguna bgttt buat suara in boikot produk yg pro israel td aku coba iseng scan handbody implora ku dan yaaa dia pro israel sedihh bgtt ternyata makeup dan skincare ku banyak yg pro israel https://t.co/bHtsJEVFHq,negative
Capres bilang Gaza lemah Cawapres konsumsi produk boikot Cocok. Sama sama tone deaf,negative
jangan di hype hastag dan livenya ya guys ini produk boikot https://t.co/7o3JSArVKF,negative
 ayo jangan berhenti speak up tentang saudara kita di 🇵🇸 boikot produk isrewel like dan share tentang kabar saudara kita 🇵🇸 di sosial media Mereka ini percaya sama kita cinta sama Indonesia. wajah mereka ceria saat mengangkat bendera Indonesia https://t.co/aiejFWUP1e,negative
IMO urusan boikot tuh berpegang ke prinsip ini aja: 1. Boikot &amp; sebarkan awareness terkait produk yang masuk list BDS. 2. Produk di luar list BOLEH BANGET diboikot juga dan share ke yang lain yang belum tau tapi GA PERLU sampai witch hunt yang masih pakai/konsumsi.,negative
TW// CW// BOIKOT Hyeri terang an promosiin produk isri-wil &amp; (di ige K F C Korea isinya muka dia semua) &amp; bbrp bulan lalu foto pegang co ca-co la di feeds KEEP BOYCOTTING TANPA PILIH-PILIH -star https://t.co/tZGq1bBn6Z,negative
Bismillah Teruskan Boikot Produk Zionis Israel dan sekutunya!! Demi utk Mendukung Perjuangan Saudara kita di Gaza-Palestina 🇵🇸 ‼️Jangan ikutan orang² idiot yg tidak punya hati nurani !! ‼️Jangan ikuti jejak Oknum anggota DPR yg sengaja Pamer Foto Starbucks di depan Ka'bah. https://t.co/gJyaQayC4U,negative
anak anak masih terus terbunuh trus sampe kapan deh kalian diem? sampe kapan anggep ini war? trus sampe kapan tetep konsumsi produk boikot? seenak itu kah darah anak anak Palestina? mereka juga manusia yg hidupnya berharga sama kayak kita please melek bangun bersuara lantang! https://t.co/NRKrVL6NZH,negative
BOIKOT JKT48 bekerjasama dengan brand pro isri-wil ini beberapa screenshot dari member dan fanbase mereka yang masih promosiin produk pro isri-wil. KEEP BOYCOTTING TANPA PILIH-PILIH - star https://t.co/YRk70QMvyG,negative
Jadi bener-bener serius nih efek boikot Agresi dan genosida Israel di Palestina yang sudah berlangsung 2 bulan memunculkan gerakan boikot. Aksi boikot semakin membesar usai Majelis Ulama Indonesia (MUI) mengeluarkan fatwa haram membeli produk dari produsen yang nyata https://t.co/5urvxpYVYX,negative
Yg biasa mampir di kopi kenangan sebaiknya di re kondisikan deeh Gw sekali waktu di semarang sama ayank minum kopi kenangan Coba cek juga produk dibawah ini Lanjut boikot produk2 yg Berafili dgn Zionis ya gesss... https://t.co/umV0ZwroUI,negative
 konteks ada konten kreator di tt yg aware buat boikot produk yg pro onoh dan ini isi komennya SHOCK BERAT duh miris bgt liat komennya sambil baca istighfar https://t.co/sPSWISbTuK,negative
kepala bayi dipenggal orang² yg mengungsi di Rafah dibakar hidup² tenda mereka dibakar rumah sakit berhenti beroperasi internet diputus sesulit itu keadaan mereka di sana tp masih banyak yg tone deaf dan konsumsi produk boikot?? HATI DAN RASA KEMANUSIAAN KALIAN DIMANA? https://t.co/IUqZtV15MB,negative
 Masih bingung antara boikot produk Zionis atau peduli lingkungan guys https://t.co/nTUaHwqMaR,negative
Ada bagusnya juga sih boikot ini selain melemahkan donasi yg support Israel jd bisa explore dan ngeh ternyata PRODUK LOKAL BUAGUS BUAGUS BANGETTTTT!!!! Dari skincare makeup tas sepatu baju aksesoris WOWW I LOVE PRODUK LOKAL jd bantu UMKM jugakk,negative
argumen mendukung boikot produk afiliasi: tanggung jawab moral: boikot sering kali dilakukan karena perusahaan afiliasi terlibat dalam praktik bisnis yang tidak etis seperti pelanggaran hak asasi manusia kerusakan lingkungan atau eksploitasi tenaga kerja.,negative
@tanyakanrl bilang gini gue boikot terarah mengikuti anjuran bds ke produk-produk ini dan produk lain yang gue bisa kalo lo ada action apa untuk humanity? https://t.co/ZILUuKKIMK https://t.co/ABgx0s4Q96,negative
Gerakan Boikot Divestasi dan Sanksi (BDS) terhadap produk barang/jasa serta produsen/penyedia layanan yg keuntungannya mengalir kepada gerakan Zionisme adalah gerakan efektif untuk menghukum pihak2 yg pro kepada kezhaliman atas warga Palestina https://t.co/gVDC0xkDwD,negative
Lanjutkan ! Boikot produk-produk penyumbang dana Teroris Israel selamanya !!! https://t.co/tPPslicLdq,negative
LANJUT BOIKOT PRODUK-PRODUK PRO ZIONISME. Jangan kabancang ku duit goceng! #FreePalestine https://t.co/io4PfUZHG4,negative
Keren Bapak Mardigu Sangat sepemikiran. Boikot produk Israel dan ciptakan produk serupa untuk MEMISKINKAN ISRAEL. WOW AMAZING️️️ YUK BISA INDONESIA EMAS 🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩 https://t.co/TVodz8xu5o,negative
