created_at,full_text,Sentimen
Thu Dec 28 10:35:18 +0000 2023,tanyarl ternyata dunkin sampe buat donat israHELL tetap semangat boikot produk yang mendukung israHELL! https://t.co/FH68VSdAYN,Netral
Wed Jun 05 06:16:04 +0000 2024,STARBUCK DIGANTI NAMA VISTA COFFEE PIZZA HUNT DIGANTI NAMA JADI RISTORANTE TETAP BOIKOT PRODUK PRO ZIONIS ISRAIHELL https://t.co/cglUpp2zYQ,Netral
Sat Jun 08 03:55:30 +0000 2024,Padahal lebih banyak cara untuk ajakan boikot yang lebih simpatik dan tidak mengganggu privacy orang lain. Konsumen produk yg mungkin diboikot adalah berhak apa dia bayar tidak sepantasnya kita menyerangnya krn perbedaan prinsip ttg Palestina. https://t.co/D6ZA3LgOEf https://t.co/D25yi8ihVi,Netral
Fri Jun 07 00:13:35 +0000 2024,Masih semangat Boikot produk Zionis dan yang terafiliasi.. salah satu cara keberpihakan kita sama penderitaan dan.perjuangan saudara kita di Palestina https://t.co/Fb6ELKvhme,Netral
Sat Nov 11 13:46:18 +0000 2023, ternyata udah ada fatwa MUI ya soal boikot produk. utk skincare make up dan body-hair-personal care sih gak repot krn udah setahun hijrah pake oriflame. yg agak peer nih makanan https://t.co/04rJYHoRCq,Netral
Sat Feb 24 11:13:57 +0000 2024,Calon wapres pemilu kita yg 8 bulan lagi kemungkinan besar dilantik. Beliau Makai botol plastik dan produk boikot https://t.co/OpXKChOJgk,Netral
Fri Jun 14 11:41:18 +0000 2024,Ayo teruskan boikot produk Zionis demi keadilan dan perdamaian #TerusBoikotIsrael https://t.co/WO5gAb5AuC,Netral
Tue Nov 14 13:13:39 +0000 2023,Guys masih tetap boikot produk atau komoditas yg berafiliasi dengan Zionis Israel kan? FYI bahwa setiap harinya Zionis Israel harus mengeluarkan anggaran sebanyak $260 Juta. Artinya sampai hari ini mereka sudah mengeluarkan anggaran sebesar $10 14 Milyar. Belum lagi mereka https://t.co/kfliPPVzVb,Netral
Wed Jun 05 14:07:51 +0000 2024,Segala bentuk penjajahan di atas muka bumi harus dihapuskan termaktub dalam pembukaan UUD 1945. Maka menentang penjajahan zionis di tanah palestina menjadi kewajiban kita semua dengan cara dan bentuk apapun yg kita bisa. Salah satunya dengan perjuangan boikot brand/produk https://t.co/YoGL0z3Us5,Netral
Mon Jan 08 12:00:12 +0000 2024,tanyarl astaghfirullah israHELL buat mainan bayi kaya gini israHELL BIADAB tetap semangat boikot produk israHELL!!!!! https://t.co/tXLKIUGrqo,Netral
Sat Jun 08 05:19:19 +0000 2024,Aksi para pendukung palestina di Makasar Mereka menyambangi sebuah gerai kopi di jln AP Pettarani Makassar dan mengajak para pengunjung melakukan boikot produk yg terafiliasi isra El Jumat 06.06.24 https://t.co/iiMyCaPyau,Netral
